Local;Provincia;Parcela;pH;CE ;Fh;HR(%);Carb(%);Ca ;Mg ;K;Na ;RAS;Mn ;Zn ;Cu ;Fe ;P_(ppm);%MO;%Arcilla;%Limo;%Arena
450265Toledo28;Toledo;450265;5,7;0,0209;0,989;5,41;0;2152,435956;90,6531401;744,2873078;1754,404311;3,18;18,88;0,24;1,94;23,62;19,55;2,83;2,86;10,98;86,16
450265Toledo32;Toledo;450265;5,22;0,0257;0,949;1,1;0;3493,645567;115,9273171;817,8477818;2234,15485;3,20;15,48;0,04;2,02;41,66;18,02;2,51;4;13,41;82,59
451383Toledo15;Toledo;451383;6,72;0,0497;0,931;4,94;0;7165,123382;196,5877518;801,3458721;2516,496359;2,53;16,51;1,04;1,72;27,50;4,03;4,14;5,96;23,9;70,13
451383Toledo43;Toledo;451383;6,16;0,1368;0,953;7,41;0;13376,85673;250,6163384;782,9405816;2102,951579;1,56;29,74;0,13;2,35;21,32;5,87;2,8;7,44;9,03;83,53
490125Zamora48;Zamora;490125;5,4;0,0339;0,93;7,48;0;3258,524342;179,8426892;821,7803945;2101,607177;3,07;87,67;0,36;2,58;49,01;10,85;3,74;3,29;26,14;70,57
490125Zamora50;Zamora;490125;5,13;0,0339;0,984;1,61;0;3870,837992;214,0580808;952,4440367;3001,876305;4,02;94,85;0,41;2,60;45,68;11,1;2,66;9,53;22,55;67,91
490299Zamora19;Zamora;490299;4,77;0,01567;0,943;4,51;0;950,8632156;50,86242604;534,9227675;1926,178097;5,21;65,25;0,18;1,53;56,14;5,61;2,05;3,3;12,93;83,77
490299Zamora33;Zamora;490299;5,08;0,0178;0,957;6,01;0;513,899304;53,71073867;553,9628457;2079,212257;7,37;62,62;0,07;2,01;17,22;2,82;2,19;4,19;13,59;82,23
490300Zamora18;Zamora;490300;5,11;0,0261;0,982;4,44;0;3267,31126;192,8627191;940,1443295;6291,700081;9,15;72,65;0,35;2,12;79,96;3,05;3,65;7,02;24,44;68,54
490300Zamora41;Zamora;490300;5,16;0,0299;0,958;1,79;0;1887,975554;102,4636407;1006,190779;2219,1046;4,26;124,39;0,18;3,01;64,17;14,58;3,57;7,63;23,46;68,91
490525Zamora56;Zamora;490525;5,25;0,022;0,988;1,24;0;768,7396513;89,08860759;593,9909193;2689,42145;7,74;44,63;0,08;2,59;73,54;22,37;3,63;4,76;16,92;78,33
490813Zamora47;Zamora;490813;5,05;0,0242;0,99;1,02;0;717,0908444;72,73092622;1027,811705;2398,127509;7,22;37,61;0,19;2,42;40,08;12,12;1,26;3,04;9,95;87,01
;;;;;;;;11138,69365;481,7145015;;;;;;;;;;;;
;;;;;;;;10951,59806;393,732531;;;;;;;;;;;;
;;;;;;;;11528,04127;392,669781;;;;;;;;;;;;
;;;;;;;;11319,36306;380,702911;;;;;;;;;;;;
;;;;;;;;11762,68806;466,9406337;;;;;;;;;;;;
;;;;;;;;11021,80713;512,465374;;;;;;;;;;;;
;;;;;;;;11547,7257;622,5147541;;;;;;;;;;;;
;;;;;;;;11553,07621;526,7092339;;;;;;;;;;;;
