ID;Provincia;Parcela;pH;CE ;F h;Carb (%);Ca ;Mg ;k ;Na ;RAS;SB (cmol/kg);Mn ;Zn ;Cu ;Fe ;P (ppm);%C;%MO;%Arcilla;%Limo;%Arena
28;Toledo;450265;5,7;0,0209;0,989;N;358,01;23,19;817,85;2234,15;10,13;13,66;18,88;0,24;1,94;23,62;19,55;1,65;2,83;2,86;10,98;86,16
32;Toledo;450265;5,22;0,0257;0,949;N;220,57;18,13;744,29;1754,4;10,07;10,69;15,48;0,04;2,02;41,66;18,02;1,46;2,51;4;13,41;82,59
15;Toledo;451383;6,72;0,0497;0,931;N;1370,79;50,12;782,94;2102,95;4,93;18,05;16,51;1,04;1,72;27,5;4,03;2,41;4,14;5,96;23,9;70,13
43;Toledo;451383;6,16;0,1368;0,953;N;734,24;39,32;801,35;2516,5;8;16,74;29,74;0,13;2,35;21,32;5,87;1,63;2,8;7,44;9,03;83,53
48;Zamora;490125;5,4;0,0339;0,93;N;333,92;35,97;821,78;2101,61;9,7;13,02;87,67;0,36;2,58;49,01;10,85;2,17;3,74;3,290223426;26,13777745;70,57199912
50;Zamora;490125;5,13;0,0339;0,984;N;396,66;42,81;952,44;3001,88;12,71;17,61;94,85;0,41;2,6;45,68;11,1;1,54;2,66;9,53;22,55;67,91
19;Zamora;490299;4,77;0,01567;0,943;N;52,66;10,74;553,96;2079,21;23,32;10,77;65,25;0,18;1,53;56,14;5,61;1,19;2,05;3,3;12,93;83,77
33;Zamora;490299;5,08;0,0178;0,957;N;97,44;10,17;534,92;1926,18;16,48;10,27;62,62;0,07;2,01;17,22;2,82;1,27;2,19;4,19;13,59;82,23
18;Zamora;490300;5,11;0,0261;0,982;N;193,47;20,49;1006,19;2219,1;13,47;13,26;72,65;0,35;2,12;79,96;3,05;2,12;3,65;7,02;24,44;68,54
41;Zamora;490300;5,16;0,0299;0,958;N;334,82;38,57;940,14;6291,7;28,92;31,58;124,39;0,18;3,01;64,17;14,58;2,07;3,57;7,63;23,46;68,91
56;Zamora;490525;5,25;0,022;0,988;N;78,78;17,82;593,99;2689,42;24,47;13,68;44,63;0,08;2,59;73,54;22,37;2,11;3,63;4,76;16,92;78,33
47;Zamora;490813;5,05;0,0242;0,99;N;73,48;14,55;1027,81;2398,13;22,82;13,48;37,61;0,19;2,42;40,08;12,12;0,73;1,26;3,04;9,95;87,01
